Item,Type,Description,Product type,Main type,Items,Email (from Contacts) (from Customer) (from Orders) (from Items),Customers,Unit price,Picture,Weight (g),Material,Comment,Unit cost ¥,For sales,Costs proposed by suppliers
Ceramic - LOGIA Ceramic 700ml Matt Black,Ceramic,LOGIA Ceramic 700ml Matt Black,['Repeat order'],Ceramic,['recg8tEWtsL8vYTe9'],,['recTPTgCcQmd80v6C'],3.1,"[{'id': 'attjyuBRHJQd0vh2E', 'width': 445, 'height': 631, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/RgUlYCdlSBqQYf6K4U7ggw/PAi45uK6ddFKtIeuKmlRDgVa-RiR67WfOnqRDJCYb3lO-Be-6VsElNfuRkzaShTgQwgZOjOR_K-wtWAgucnyqRacyWzpj8EgwAU85lWsOlQ/KNW3jnghx876XGvjl4nP9u6zOeghcrfkEOysna_PVmY', 'filename': 'image.png', 'size': 409830, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/8ueAe0W66skaDeuyVt7GrA/2h8j4C-cgueN1R8lhZuEuJOAlloki-254we07FjfbFmzf98WABydfbSIDjkA3MyYggKGC3x22kVimb8s36xkAw/lhb95Tnv19RtmZ2T6Eo4fWyW8w95EUAWzCnkX_F-y0E', 'width': 25, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/zookryWRgTFSJFj5aIxwHg/0GHuQhJd1igMzqyqNjZp1NmdOcdBS4ErD3CGnwuW2RlkeUjrWkoZOajX00YoPqykRYFHC7pwCAA0MBg7lgMGfg/u4Aa2E_rHXFe57yRNKTJAlifB3oGgNebwHhktYlHjLY', 'width': 445, 'height': 631}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/4uau9lQIvVx8kcIDk4OIuQ/K9ikkyz4IyNfSM93vKp2R5cIfbjTlDHo5kzGEIMfFEinF5CecfLhByLda8MOob3lBF6_spetmrp9CAzUQH3e0Q/YBBsjHEaT8DeVxd-nOKami1Qd7zIlldUAu9jfF9KosY', 'width': 3000, 'height': 3000}}}]",,Ceramic,,24.2,,
"Glass - OASIS 330ml_Sparkling
_Option 1",Glass,"OASIS 330ml_Sparkling
_Option 1",,Glass,['recJdlqIiht6ZSmkO'],"['Gopinath.Murkoth@nfpc.ne', 'rohan.dsouza@nfpc.net']",['recg8gXE9BuMWh6oF'],42.71,"[{'id': 'attmq9Zf2nsWmHCAh', 'width': 3036, 'height': 4000, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/1Lxx8lP2QZnY81s_gx0yfg/KXIWFRhVlai1sT0seZszBKEGXJT7OAmjHX9oJhJMj-vMBCtzgMtt2vZq9C07hU63BEa1gVBVQyUPUzTAmk7Md7Z-cnI3u-jMoIUYIXNiV0rg_KG7-t--oeXo6Ks4CYGC/Zv0R47WlKVRwDZyHKHaRG475yv_6gZq_CwuRsWTd_ic', 'filename': '330ml_Glass_Bottle_Sparkling_Option1.jpg', 'size': 399057, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/zx4i06T1dBx0HGK0p39t3Q/uTi3ch1TTL7rAbekYl59tKyOoqt5wZ1Os3TXONYP59Hunz6_Vf9UmhJnN53oD75jXbIHB-uANnl0ADRzebPxCw/AAw-EbpziAQ8df1YH_xUF4IpJj2x13KoMJv8l7tEUdc', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/NnBxLVsRk54m5bmfFo_nmw/oPxBQlW5JMObBIr8tMckk1eeayiuYX5ANeWVly-vivXnsr8pIv2tz8FF5dOSJa-MJ0UAniZ3xz-DlovuCBZzTw/mgXuM4GUV7Gu_k62GgBQkwy05469otq1bH5jBBtJAD4', 'width': 512, 'height': 675}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/O2ZbBTAl3DITWzShXz_cvQ/kxdxF02DDD2qQY6ITBAx4b6v5iHfvZ4mIWV5URhu7w6--WIm9omRlzLnnnH9pydG5tABfCU18A1dL-Tji3gfAQ/RAFt8QIUYoHDMTRAIbbNx9wLlQhBSm8JYJ2shG0dXBM', 'width': 3000, 'height': 3000}}}]",320.0,Flint,"Sample order include naked bottle, serigraphy, shipping carton, and Fedex Fee",,,
Accessories - Lip 700ml Label,Accessories,Lip 700ml Label,['Repeat order'],Accessories,,,,0.03,"[{'id': 'att7ccCm32diwTeaP', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/NXrYpmKKNaQ-n_x7TZvEtA/t37A8RgTF4Qto9QS8sutbBXTWWB7CJ2K0s2tu0YGDCTrqF6QPVZHI5p_-jQyB8R37w81Fy2JrKKumNlxKr7dTr5Mk4JgQ_oCgdBpSV4UWHY/4S1Dx-bpNazSEzTFrTL2LsmCtkC-E1t3lfh1hPVriMc', 'filename': '700ml Label.jpg', 'size': 450570, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/Emu97y9iUzESjODRS274Nw/R3Z2w53CZm849T42HkfUr1WJKgeDLVpbGmKLtxOHkzUQOU7l4k_dzu7j9cuBMTlNpsbREeADL2NNJdheTcF7UQ/guGqvHD2MUtN0s59QVGwjXfO1OC8SoC4vg4EBqjKgOM', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/ILetRp7_ou-K0_0lc1UaBg/XddrJXM-CVLqW7ns0jzlBxks3sBbawkiAi_Z6z5rBt-BI3HyaA6CxJVhmxtRk1aD4fH17pPDj31ocz695Aenew/2dievNXlHU7_tIPG6hJSWIb3MRkIjFgMHxQSGTirouk', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/f1Vl7xkMbpltScCJ85xyjQ/x-XvQDtA9q6axn-Izi-xHc9OrUcntZEhKBPODVQLlydNFq2WWPk9iL38FWWj0-Md-P6A1IgKKDE0iLJ-3NO9OA/mI4NLIPCmsrWz-yit2L53-LQP5mv7iDypJbZN9C_62M', 'width': 3000, 'height': 3000}}}]",1.0,plastic paper,,0.15,,
Packing - Gun Powder Pallet packing,Packing,Gun Powder Pallet packing,['Repeat order'],,['rec82VEwCSXfwYYUl'],"['prigney@thesheddistillery.com', 'claire.s.bay@gmail.com']",['recGTcKqeeoGfgBkP'],16.0,,,,,,,
Accessories - Label (aluminium),Accessories,Label (aluminium),,Accessories,"['recVx0462ZtmCe5Gk', 'recyYsSC1ezXDbX8C', 'recUf1LXA3MiuMzKH', 'recgYpBBrs7WStV3V', 'rec4MXhNXSu1k0D36', 'recNDixYP87fgaD94', 'recXIrRfeAmIak1xj', 'recWzj5M40yvhRHs5', 'recCcxrPpgmIJECpV', 'reczh1rQNT5KEgdun']","['mina@dragoscantina.com', 'mina@dragoscantina.com', 'mina@dragoscantina.com', 'Craig@tequilamandala.com', 'Craig@tequilamandala.com', 'Craig@tequilamandala.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com']",,,,,,,,True,
Glass - Pistol bottle,Glass,Pistol bottle,['Repeat order'],Glass,"['reciqIfERFtaaE7T9', 'recThSRLcwb0mdWZ4']","['Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com']",['recyN9PCcdYScELcF'],0.0,"[{'id': 'attow1Lj8BmhPybRy', 'width': 802, 'height': 466, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/P3ncySybTTxI0BcGE9_99w/VgXQO-bhu3NpTHyXheOysfTUmCo1YwhY4NcNLg--f3wRl5fw81gPp8Bh0Nbn3FatJrh9q4mnBBWpDk9BRbvHzcelfuLd5QAvk__PhopwISY/GYNSQOJcovfMoKfCC4aeJ3fyjNAvXzTjaodoI2oI7Lc', 'filename': 'Pistol.PNG', 'size': 336267, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/fM-w5bJqsHGv3BH_DFsYNw/O5znMBl3npQ1hO53biOVFecS3UIk0VMDbSXxya7euRgt2F6TaIROl_1VKr9OU7GRUPKB4ntBmk7NUvSJpMz18g/pbUIc1Blp4sTdCu93-GydxQ1d7ORJPad1VTUjQefBuY', 'width': 62, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/q-DNnzBcaLAVeUGVY6YQKA/Uj5AiX124cqWY5tm_0xlt0M5Prv2Yki3Hz31FjdaK_p53kewgjV4joeUKSpemLt6F01_eLWmNEFkFmpAVsnbSQ/pEZ0czUNQMYj5_ab_C5KsUgCTAh01ve34HAN_1pW5pc', 'width': 802, 'height': 466}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/E9X-aBvbqDNcMr-_84OckQ/6liWwItEAIEZe57uySw-MZo4kFC33rpTtlzIUBrmJ_pIzKyJXHcRoNnXEq_z6NcouNGd_MyK6W5WXoYo-UkEhA/xl6XLs4hHW1uLiBtd64m7LxVtAqPzCaltECayFNq8XU', 'width': 3000, 'height': 3000}}}]",,,,,,"not quote yet ,need Ai file from customer to quote price"
Packing - TROO Ceramic Matt White 750ml Paper Sealing Label Silver,Packing,TROO Ceramic Matt White 750ml Paper Sealing Label Silver,,,['rectHAzPLpZu2VWZx'],[None],['recs22NeyBgQXvhaK'],0.0,"[{'id': 'att50EWN9Op5dwSMb', 'width': 1444, 'height': 1280, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/DmFfJ4WWZHczn_NNq2MoCw/ruc81SAnbv3t4gm7NBF7n4XJpmv4EwC-xd2H2BioJegPdCoFj2EbgCQnd7UlEMjZU8ipBqbpXziAK-U2wPyzlps0lUq34Mpg9lIAmAocME1RdN-gaVNM5iPnEuSSLTgj/w0uPeD5AEbu7nK4G4W_QG5EMZv1SccapPwGFo2wo6YM', 'filename': 'c75f70c239ae107fb892403bcadcc20.jpg', 'size': 496118, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/xgsDuEj5i6okHO3JXljRtA/73Gv8V5evIm8LVDLPYtVJ5p6CayTSOLAoGJ9afYIIoNNaPuKbkRhsQr6ehKy8bWb5k5eSKKJhCf-vD6fA5cLqA/WRjecp_FAEiuStyz5-c7tq88v5kyRk_gSho0eTTWKSk', 'width': 41, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/FWr5wVuIh4QQgktYH9LZtQ/mNA5n8m2lmSNl-wWO1mr919VTIXlHO93PFz59E24mTQrppLoMAUuCBrBpMSNLc-5hDugIzAZhlM9ZumBIadXoA/CnIu3DpxGQlW9i9HY7qJJz24AVTDuOh3svD7Y8quSDo', 'width': 578, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/7HWla10mwWzSjOmM7KcoYg/HyWsc1El4OdrPhG2gsICFlgLVdXsKzTsSa1_-1OSN5KCAxDcbFiC1Cq3LcAexaWxL3wqjkHBLQEYkKXuD88yTw/8wn3EZJwoGorhAWJT-56_47EWg9oZv-LB0JuEaFD5Pk', 'width': 3000, 'height': 3000}}}]",,paper,,0.25,,
Accessories - Mandala Blanco Ceramic 1000ml Alu Label,Accessories,Mandala Blanco Ceramic 1000ml Alu Label,['Repeat order'],Accessories,"['reck1Yp6jwi6btTR7', 'recGFxV4JMW93mdcE']","['Craig@tequilamandala.com', 'Craig@tequilamandala.com']",,0.17,"[{'id': 'attPCCgLV0oqNxV6Y', 'width': 759, 'height': 742, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/-Vx82XWnYtEXdlf-Ypfkcg/bNIwvvOxfb-eEDvJS0KxEetZVVLb03R5f6xKvyD3l7uOub0wa0KYB6TH-wuWmN84Odr9d64Ztxmv9mPam0O9kaeaw2Gk_KkA10qhvYQJtlE/d7tKlSNSIxlDh52T7d0Dc8qibOcIuOjhBF0e6OShgRs', 'filename': 'image.png', 'size': 92882, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/jz-HovAy6gYdgAFZdJNiPw/ADKw6NjiTDE0bTABZJDo5uip-_plQq691-b6ucm2v9ii8uz5oJ3rcqzyutcJSIxlLMh6R5SrMeaBBSszAq5G1w/cGbO3t3CqFnI7zbobeiuAlYUNPjJpReMZz4Ki5lOZbk', 'width': 37, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/ce6av5fUdJim5Tl61cjIJw/iDwgR0G4rhOTszJyp_lZSufEXTZ73CRA4iCw5IRnp5DmZcI-cqmSyKDmHj2j4yRfwrEHMLKLeXCZzz7P9DjicQ/mkVWcSWE71SccQkA5HvI3s4X5xo1OkqvuWYS5j8nds4', 'width': 524, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/dm4fkh8mnAjKezN_8Uhq5g/KN19ntStK5NJqHLELIu0g2KjnBxHQQ5Ns48ljXeM4PNk2l-lGKySsO5Rp0bEkeeSesy4D6i_JVogfyICr5Y8ig/88AY1oiVT7ju9WxLmFyBtprX2LFp_1QXM9dduBLega0', 'width': 3000, 'height': 3000}}}]",,Alu.,,0.896,,
Glass - Takeda Yamato 750ml glass bottle,Glass,Takeda Yamato 750ml glass bottle,['Repeat order'],Glass,,,['recyN9PCcdYScELcF'],1.07,"[{'id': 'attLZiNWZ5H2NutcS', 'width': 242, 'height': 489, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/5xYSi-FkUJ30iLJ-neZBNg/4RfhOx_KfJox9Z9osaqFL8Q-hezyE3WGQelp5QNaBZBR5_qvlyTr0Um4hDadTjYv8FaqFMGgduEnxz2gxRhx0MmU8RO5fYgYWJCZZz6fsDI/YfslvNCd82RhnjjrlXhNhCVPXnCvSWAwMFdxWl8X-XM', 'filename': 'Takeda Yamato 750ml.png', 'size': 148719, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/g5EVJt6t2Io76ikFQJQ_kA/Yu-HDg68y9dfVoZxueJQoNofi78UA6wBBHez42ukt51LD92aijH14b0yPPwVQXhlhMzQguM8vWICO5ezlv-dRg/U1KZWV-tZ1muRrWCb2-Og4f5BUPLy_4uKt_OU9sGudA', 'width': 18, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/n_luB2qAWf1wcKVC873W-Q/wdwGdwASv2iFhD_pe0t06NynCoV58s4pXtZZ2tVryAJus_-j263r4wy28VbSge-QInb0zdwZZerWCSn28Bk9Aw/thpJLR0TShpUE0IJc8nd62yoatD2-wDx_aqR8vEOb_8', 'width': 242, 'height': 489}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/8ossL2-EuDwRuXIqCSsGWA/5HcRFsJnq-joX4TY_wCaZqhM0_RMxVuU2o-4PYb42MrNqRUEf2hCpYUwuRQEQxAn-kT4Ps7ArUieG6bvkltUYw/tgQbPyh7aFMu64Wd9NyQ1GqA_McxVTxLInVb5YpTR4s', 'width': 3000, 'height': 3000}}}]",1620.0,glass,,5.4,,
Packing - Brown carton,Packing,Brown carton,,,"['recyg0vXFt7csShPL', 'recpg5qrapL9shb4e', 'reckXd0pHrimnNILu', 'recRF3KNNuj0OvWaU', 'recuTxUY2uPOwgofI', 'recXYiycgXUYXYiSs', 'recvYSOzbu2hDXMl1', 'rec4dbfItdJk6n2Ql', 'rechApRlFYFiP7tiJ', 'recionBbiDnkLBr9u', 'recYqryJAhMhHVLGG', 'rec4Ks47VqB0dyGr9', 'recN6TQhQVCbL3b6m']","['prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', None, None, 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'd.issaq@italiancoffee-co.com', None, 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com']",,,,,,,,True,
Glass - Legend 700ml,Glass,Legend 700ml,['Repeat order'],Glass,['recuNWjiL1UxeDjGt'],[None],,,,,,,,,
Ceramic - Cobra Ceramic 750ml Gold,Ceramic,Cobra Ceramic 750ml Gold,['Repeat order'],Ceramic,['reczdTO5H7AJtIkl0'],['mina@dragoscantina.com'],['rec2xxD7bRWqCORAE'],4.6,"[{'id': 'atthaKSRwmfj6zFYG', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/MxLiZjFsDcYO2FCTJafA6w/Kgsdf0PnXmbKVypAxUrTtW7e9HEy6RFqN7rrGoKonbRbkDmXxsTdW7RGKWcC29E4IgS4OXHCo4YjrGfxl_RR_LatsT5mDx5-bseGvgG--sqQC33R325tt-fyy3gW3rg6/15-QgVnZvID3jfQJ5ovBfYJQhUu9GraxXldhYS2eaFc', 'filename': '6e37f99036fce593ecb7b160d370a65.jpg', 'size': 381970, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/YOMkNqHWzqZRCpqbWvo9yg/DIJ7ud5XKGFiItnzXkYKVtfJiht2x0EqLxhjUENEe3d2vJKH4_pPFxS8xL7p8c84e7mA4rqZ0V53_Vkhmv2P6w/CAihOYcA7ekK0bnCEnftL5AJ1uTx_kpz2jnqcnOcbp4', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/y_ZVeU5E7896cCLCZOCTnQ/QIPxyRna--kz4CKJunVZORllu3p_Jed37Gs163qVsMeSv5vUTbYSN0Nq7gpfCe03b8s7TfH0vVRVZo6vg9BMgg/iOgrESAnn4k-mYu6tBiPpuaVmBUD2m0yUb1ZosSnAbo', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/uG27xMn_YbR92AC4Mzp52Q/8TN_b5pgbFTNBl7ng8IU9qszzMQXoSJzhjaa0-1MNhwRlNXtj_VYKAjYbZ1VG-wNJcg4GXfxvgKZ_-4n84xzVA/YuRf9ShJ3uTD3EYj1X4i-Xk07dfYSb8YTQwQidiZ2eE', 'width': 3000, 'height': 3000}}}]",,Ceramic,,19.8,,
"Glass - OASIS 750ml_Sparkling
_Option 1",Glass,"OASIS 750ml_Sparkling
_Option 1",,Glass,['recXzyRaL1OZWwwCm'],"['Gopinath.Murkoth@nfpc.ne', 'rohan.dsouza@nfpc.net']",['recg8gXE9BuMWh6oF'],50.0,"[{'id': 'atthcDMcx0I0sxxHh', 'width': 3036, 'height': 4000, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/n3DAxjDUECNN9zvA9O4zWA/UMEYRkP2FnOup8V3LyzE3Y5GCPO4G4cGDo7HFeAta3uxL5hJE5WsME_LqelYIEYGbHyWUWNXckKDcSfNXTDuB6ecHwjLSig532uk4xetspEV1uJSPmhHDh2jqSvp3twn/gLN5ATMgyI3DjJOTWsdzOFi3WPReNeGiwVKkcoxxIVo', 'filename': '750ml_Glass_Bottle_Sparkling_Option1.jpg', 'size': 399350, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/nDaSmLZdNhC1N6tB-Cc0mg/CwxYbdlW8lBi2N9_f_OQaFOopv5naGsAICtP9IhknH5zhhNbGnbOObBuXLzHE7KgXF8eIcUMW4lpk7vxclhmPw/nAtYL4FMlxVCVdy4eSPbU4FgWb7LjXAG7Ypntl7eOec', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/90Tzxvfj_IAAO3X3HYu0GA/tF7aATCZoeMduC4essSK77UDfotRQtF0fzI_yVuHff5x2eZ8zSZl5WtKwET0DfVlnCljMyIKWViJdzQnnyXk4w/GYtb3fVtkk79PHpwfAJgnj5Ef5PlkVD7oE_6gq9RA1U', 'width': 512, 'height': 675}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/wVnTJBpBB9sMip5PcMIG-w/dB1RNMMInDW260WkRwmm8ktQl36t77FDX6rdxHG6WuhyEUkRJV5iTaHvhEx4jM896gEeu-9DtIIu3kvBeSDefQ/53XXoIr7yV6oaQ82XEkgIMh8BpD7_gvALl6z06KQQh8', 'width': 3000, 'height': 3000}}}]",520.0,Flint,"Sample order include naked bottle, serigraphy, shipping carton, and Fedex Fee",,,
Ceramic - Grim Reper 1L Ceramic hand painting,Ceramic,Grim Reper 1L Ceramic hand painting,['Repeat order'],Ceramic,['rec1ARcTKqjSEbqB0'],['Mark M mark@saharex.com'],,17.394,"[{'id': 'attUB5YGjSFexzABY', 'width': 170, 'height': 314, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/49ZBmyBroHc6sjEvI8J8vQ/ItLwbGrnd60g_vXOHRMZqef_8xgZRuHLP3EuPpgHKlKIFwptDqF1rdhYAp62JBr4eCqZqZjS3c0u3EjwsB5ZcCiWC1_MBEUrplzE94KtHqpzHn1hCzX_LLH5gT9yFG5E/COsaGFMG9RO50Szn2R481F953PZH5S1ztsG8HMZOtAc', 'filename': 'Capture d’écran 2023-07-24 à 20.34.33.png', 'size': 105737, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/91XUWe9Gct6uVM6zUYtMLw/-9UTxKGNbGz6BWSC1shvHiGHULB4rl8MNF3YCEUTghNzARX0MtnbH9inQCMG6FIkuB92b9sr5ADwRoLskOSZUA/e9z_e8xOOulzM0qjMMFuqngGc4967bagzWkxbGoKdkY', 'width': 19, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/srojf1iVxUqKlpNGz9yzyQ/eqKiS-kaYfFT-gg1OaPDN5Jn2fU9jNirw5aLMIhMqjVxa6IxQlx6qxuiBg9kekFWp0FFkVUhUyDrTeDwP-4wkA/6rdHcROD-DHU9MhraJhnqC5y-Gzdp0K38xkxrtm6eNA', 'width': 170, 'height': 314}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/i6AQEUuwbShWampSFZq35w/fkbvtOlXsM0A9ucmjBzjomQTOrxSl1DqPAIixKUB0PSr39sy-0_Pu3hXLvd5fumtvCUSMccy4UPU1itExGanjA/Ia0oCUqFCoOZFaSL48eEDQhlN0SoaZbVms8krHn72P8', 'width': 3000, 'height': 3000}}}]",1360.0,Ceramic,,62.15,,
Ceramic - DOS ARTES Ceramic 1000ml Bottle+ Cap Green Reposado,Ceramic,DOS ARTES Ceramic 1000ml Bottle+ Cap Green Reposado,['Repeat order'],Ceramic,['recZynBJRs7yokm34'],"['alvaro@tequiladosartes.com', 'karen@tequiladosartes.com']",['recivxeOB2q8pewHA'],4.78,"[{'id': 'attOtFeBO9tBttejv', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/umzlYzLlivuMqxWW8JWEoA/2aYl3NmWKUGkex-IlX-xAXWdZ6U2B-2QplvnHZPUGz0fz23bdkaumr8lWxtN3kNb7q5lJKvSZOFXpEctAmMqD1HjwL-wbcNn5WtjDU1SKzqhBPnLIg0AI46laLGde3E6/2Sf_0VWrbCIlpt08cjS-tmKZH73kHGb0E4zpoZU0JiI', 'filename': '7d3ec33d891379fb20b91d2f7ec1cfa.jpg', 'size': 571903, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/ppEhQ-gzGquIppAb-DNJfw/FT8NNVE9l_C29OdoUbdXwrTz1KAgyZg4HInPJh-b8vU2TYl8cRe4nTJ9mVp-6k9ok7z9JcJr79NRkfO14C9_2w/mnV6EitORGeC6EIL6M4AiPK0odyx5giDlhJG-INNE50', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/EUDWwkYQdBrKlutu88AdiQ/UGZFzmBEVYPgDR60yWrpQhnmUN0o3TKpoij1QwqErSD12kvim2jOTlRAQPBxXql5LjI8RggfCbusC7NUOyox7w/GNFaCfsuj5aOcIVL0mL7zIs76Qp4YK6W8Tl45fASwAU', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/7vdiDbUag8_ZrYnh1M5eGg/DiUiU6pT93RG6JhhNScgSXzpdipeZlVTfskv90-mVlLi8gLy_bASs4mxqPYnRfTg5r6H9qvMM3TAhijRhdGgRQ/YWGojBhwOFejJOGxy-GF35laoHJilI4ZhPqVrzj1IAo', 'width': 3000, 'height': 3000}}}]",,Ceramic,,24.2,,
Ceramic - KAH Ceramic 750ml Yellow,Ceramic,KAH Ceramic 750ml Yellow,['Repeat order'],Ceramic,"['recFZob0mEXjFNSww', 'recOd7kbv9NC3M5pL', 'recoI6HxJ37z7XRrY', 'recyBcVae5Sy8woPG']",,,3.16,"[{'id': 'attEe9zILaCnhQrhP', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/ERj3dAYyIZpm-rKA2m4j_g/8arvHHeA7Hl5C2uQ-3p1QhZWB16SrTneGneSpuOpS_RKImpkqmZtTf3ejbdGTSTrddbglCyvCklOiUnUMuBWI91KQd_4Js12kS4chjRXDPQmPiCyWq46RbJ_B03SlflC/z1y9BLu5Kt3INMyu_WEDYtGY51TbQn2-ivBh3CP7Zx0', 'filename': 'a311d9d259b68ca6fba2a334555f72a.jpg', 'size': 393578, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/rWtKn1Y1Pv8XxPaGv9Qxdg/PlcGwqKCrK3ni_O0-NcgoUSNJwcL4t3hW3-tFdwPP8bHPZodpvGc57_mxFxnTwlz7G4XjmqJjbLsxr-5xZHbxA/7VxBWufJdRphZXVLxM3MvbPMMEJzzTT7NyueFhuhJ9g', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/w-q-6sgzUh1IdcxShi0b0A/tr0e2UC4hDdhGT9VtOLhKwcSM81zxqsQ6g_KDM7o0kntX3IXcqtGeFCCriK_72wBAgdtJpgvu-igecc3UqsUUw/wrsAco2gzZ6N1g_CdpeKLmnm_kolfVDis8hMKaHO4BU', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/HB03Yjz5DPhdBDRhL1iecQ/fCYbrNMrx9ifnJ0eejoq19zt8nF6qeipo2zwVVws81B4cRmeXi78tC5hllViSaIteyTYpgsnYBxKKSWEOiwKnw/Ze6abD3wsbsIgh0AkV4ZRCndS4iktrhQNIrS0ZW72eg', 'width': 3000, 'height': 3000}}}]",679.0,Ceramic,,14.96,,
